date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:06:56	111772/111772	---MCZ	200	added ('OK')	text/html	etag:W/%2260ffe23d-1b49c%22	https://htmldemo.net/airi/airi/blog-no-sidebar.html	C:/Users/Sourov/Desktop/02/htmldemo.net/airi/airi/blog-no-sidebar.html	(from https://htmldemo.net/airi/airi/index-22.html)
07:06:56	129883/129883	---MCZ	200	added ('OK')	text/html	etag:W/%2260ffe239-1fb5b%22	https://htmldemo.net/airi/airi/blog-masonary.html	C:/Users/Sourov/Desktop/02/htmldemo.net/airi/airi/blog-masonary.html	(from https://htmldemo.net/airi/airi/index-22.html)
07:06:56	127077/127077	---MCZ	200	added ('OK')	text/html	etag:W/%2260ffe2ad-1f065%22	https://htmldemo.net/airi/airi/single-post.html	C:/Users/Sourov/Desktop/02/htmldemo.net/airi/airi/single-post.html	(from https://htmldemo.net/airi/airi/index-22.html)
07:06:57	134296/134296	---MCZ	200	added ('OK')	text/html	etag:W/%2260ffe2ab-20c98%22	https://htmldemo.net/airi/airi/single-post-sidebar.html	C:/Users/Sourov/Desktop/02/htmldemo.net/airi/airi/single-post-sidebar.html	(from https://htmldemo.net/airi/airi/index-22.html)
07:06:57	110745/110745	---MCZ	200	added ('OK')	text/html	etag:W/%2260ffe247-1b099%22	https://htmldemo.net/airi/airi/contact-us.html	C:/Users/Sourov/Desktop/02/htmldemo.net/airi/airi/contact-us.html	(from https://htmldemo.net/airi/airi/index-22.html)
07:06:58	30122/30122	---MC-	200	added ('OK')	image/png	date:Tue,%2004%20Oct%202022%2001:06:59%20GMT	https://htmldemo.net/airi/airi/assets/img/slider/home-22/m22-s-2.png	C:/Users/Sourov/Desktop/02/htmldemo.net/airi/airi/assets/img/slider/home-22/m22-s-2.png	(from https://htmldemo.net/airi/airi/index-22.html)
07:06:58	162498/162498	---MC-	200	added ('OK')	image/png	date:Tue,%2004%20Oct%202022%2001:06:58%20GMT	https://htmldemo.net/airi/airi/assets/img/slider/home-22/m22-s-1.png	C:/Users/Sourov/Desktop/02/htmldemo.net/airi/airi/assets/img/slider/home-22/m22-s-1.png	(from https://htmldemo.net/airi/airi/index-22.html)
07:06:59	22359/22359	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Oct%202022%2001:07:00%20GMT	https://htmldemo.net/airi/airi/assets/img/slider/home-22/m22-s-3.jpg	C:/Users/Sourov/Desktop/02/htmldemo.net/airi/airi/assets/img/slider/home-22/m22-s-3.jpg	(from https://htmldemo.net/airi/airi/index-22.html)
07:06:59	23413/23413	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Oct%202022%2001:07:00%20GMT	https://htmldemo.net/airi/airi/assets/img/slider/home-22/m22-s-3-mockup.jpg	C:/Users/Sourov/Desktop/02/htmldemo.net/airi/airi/assets/img/slider/home-22/m22-s-3-mockup.jpg	(from https://htmldemo.net/airi/airi/index-22.html)
07:07:00	8571/8571	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Oct%202022%2001:07:01%20GMT	https://htmldemo.net/airi/airi/assets/img/banner/m21-bg-1.jpg	C:/Users/Sourov/Desktop/02/htmldemo.net/airi/airi/assets/img/banner/m21-bg-1.jpg	(from https://htmldemo.net/airi/airi/index-22.html)
07:07:00	14962/14962	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Oct%202022%2001:07:02%20GMT	https://htmldemo.net/airi/airi/assets/img/banner/m21-bg-2.jpg	C:/Users/Sourov/Desktop/02/htmldemo.net/airi/airi/assets/img/banner/m21-bg-2.jpg	(from https://htmldemo.net/airi/airi/index-22.html)
07:07:01	9925/9925	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Oct%202022%2001:07:02%20GMT	https://htmldemo.net/airi/airi/assets/img/banner/m21-bg-3.jpg	C:/Users/Sourov/Desktop/02/htmldemo.net/airi/airi/assets/img/banner/m21-bg-3.jpg	(from https://htmldemo.net/airi/airi/index-22.html)
07:07:02	35192/35192	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Oct%202022%2001:07:03%20GMT	https://htmldemo.net/airi/airi/assets/img/products/prod-75-1275x1275.jpg	C:/Users/Sourov/Desktop/02/htmldemo.net/airi/airi/assets/img/products/prod-75-1275x1275.jpg	(from https://htmldemo.net/airi/airi/index-22.html)
07:07:03	77325/77325	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Oct%202022%2001:07:03%20GMT	https://htmldemo.net/airi/airi/assets/img/products/prod-74-1275x1275.jpg	C:/Users/Sourov/Desktop/02/htmldemo.net/airi/airi/assets/img/products/prod-74-1275x1275.jpg	(from https://htmldemo.net/airi/airi/index-22.html)
07:07:03	76053/76053	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Oct%202022%2001:07:04%20GMT	https://htmldemo.net/airi/airi/assets/img/products/prod-72-1275x1275.jpg	C:/Users/Sourov/Desktop/02/htmldemo.net/airi/airi/assets/img/products/prod-72-1275x1275.jpg	(from https://htmldemo.net/airi/airi/index-22.html)
